resultCode,resultMsg,totalCount,pageNo,numOfRows,statNm,statId,chgerId,chgerType,addr,lat,lng,useTime,busiId,busiNm,busiCall,stat,statUpdDt,powerType,zcode,parkingFree,note,dong
,,,,,충남천안 성거벽산아파트106동,EV002157,01,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686625254,127.1574777454,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221221165912,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성거벽산아파트106동,EV002157,02,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686625254,127.1574777454,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230114125153,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성거벽산아파트106동,EV002157,03,02,충청남도 천안시 서북구 성거읍 봉주로 107-6,36.878686625254,127.1574777454,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230103124835,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성거삼일아파트,EV002229,01,02,충청남도 천안시 서북구 성거읍 성거길 103,36.875057079750,127.2004998969,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221225073059,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성거삼일아파트,EV002229,02,02,충청남도 천안시 서북구 성거읍 성거길 103,36.875057079750,127.2004998969,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230107232854,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성거삼일아파트,EV002229,03,02,충청남도 천안시 서북구 성거읍 성거길 103,36.875057079750,127.2004998969,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230118024707,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성거삼일아파트,EV002229,04,02,충청남도 천안시 서북구 성거읍 성거길 103,36.875057079750,127.2004998969,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230102153248,,44,Y,입주민만 사용가능 거주자외 출입제한,성거읍
,,,,,충남천안 성환이화아파트,EV002257,01,02,충청남도 천안시 서북구 성환읍 율금1길 276,36.902957180751,127.1089092285,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221221165758,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안 입장한성아파트114동,EV002613,01,02,충청남도 천안시 서북구 입장면 도림길 10,36.915381600702,127.2453992738,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221221165916,,44,Y,입주민만 사용가능 거주자외 출입제한,입장면
,,,,,충남천안 입장한성아파트114동,EV002613,02,02,충청남도 천안시 서북구 입장면 도림길 10,36.915381600702,127.2453992738,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230116225456,,44,Y,입주민만 사용가능 거주자외 출입제한,입장면
,,,,,충남천안 입장한성아파트114동,EV002613,03,02,충청남도 천안시 서북구 입장면 도림길 10,36.915381600702,127.2453992738,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221224073144,,44,Y,입주민만 사용가능 거주자외 출입제한,입장면
,,,,,충남천안 입장한성아파트103동,EV002614,01,02,충청남도 천안시 서북구 입장면 도림길 10,36.915135712535,127.2449092071,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230115070624,,44,Y,입주민만 사용가능 거주자외 출입제한,입장면
,,,,,충남천안 입장한성아파트103동,EV002614,02,02,충청남도 천안시 서북구 입장면 도림길 10,36.915135712535,127.2449092071,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230113043244,,44,Y,입주민만 사용가능 거주자외 출입제한,입장면
,,,,,충남천안 직산부영아파트104동,EV002799,01,02,충청남도 천안시 서북구 직산읍 천안대로 1718,36.894147674593,127.1386796356,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221221165941,,44,Y,입주민만 사용가능 거주자외 출입제한,직산읍
,,,,,충남천안 직산부영아파트104동,EV002799,02,02,충청남도 천안시 서북구 직산읍 천안대로 1718,36.894147674593,127.1386796356,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20221221165759,,44,Y,입주민만 사용가능 거주자외 출입제한,직산읍
,,,,,충남천안 직산부영아파트104동,EV002799,03,02,충청남도 천안시 서북구 직산읍 천안대로 1718,36.894147674593,127.1386796356,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230118103116,,44,Y,입주민만 사용가능 거주자외 출입제한,직산읍
,,,,,충남 천안목천부영1차121동,EV003004,01,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.758668298891,127.1788845380,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230118031251,,44,Y,입주민만 사용가능 거주자외 출입제한,목천읍
,,,,,충남 천안목천부영1차121동,EV003004,02,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.758668298891,127.1788845380,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230118023857,,44,Y,입주민만 사용가능 거주자외 출입제한,목천읍
,,,,,충남 천안목천부영1차121동,EV003004,03,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.758668298891,127.1788845380,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230110052641,,44,Y,입주민만 사용가능 거주자외 출입제한,목천읍
,,,,,충남 천안목천부영1차120동,EV003005,01,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759000986350,127.1793668770,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,3,20230118155422,,44,Y,입주민만 사용가능 거주자외 출입제한,목천읍
,,,,,충남 천안목천부영1차120동,EV003005,02,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759000986350,127.1793668770,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,3,20230118131421,,44,Y,입주민만 사용가능 거주자외 출입제한,목천읍
,,,,,충남 천안목천부영1차120동,EV003005,03,02,충청남도 천안시 동남구 목천읍 삼성5길 42,36.759000986350,127.1793668770,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,2,20230118073044,,44,Y,입주민만 사용가능 거주자외 출입제한,목천읍
,,,,,충남천안_모트렉스,EV003222,01,02,충청남도 천안시 동남구 풍세면 풍세산단4로 62-7,36.729470445037,127.0994567802,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",EV,주식회사 에버온,1661-7766,2,20221227135116,,44,Y,,풍세면
,,,,,충남천안_두진그린힐아파트106동,EV003271,01,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.905361931949,127.0999978911,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트106동,EV003271,02,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.905361931949,127.0999978911,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트106동,EV003271,03,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.905361931949,127.0999978911,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트106동,EV003271,04,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.905361931949,127.0999978911,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트101동,EV003272,01,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.906309533177,127.0982599154,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트101동,EV003272,02,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.906309533177,127.0982599154,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트101동,EV003272,03,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.906309533177,127.0982599154,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안_두진그린힐아파트101동,EV003272,04,02,충청남도 천안시 서북구 성환읍 율금1길 221-34,36.906309533177,127.0982599154,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",EV,주식회사 에버온,1661-7766,9,20221024113810,,44,Y,입주민만 사용가능 거주자외 출입제한,성환읍
,,,,,충남천안 부경파크빌1차 109동,EV004681,01,02,충청남도 천안시 동남구 병천면 5산단로 419,36.763779245,127.26497944,24시간 이용가능,EV,에버온,1661-7766,2,20230118014053,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경파크빌1차 109동,EV004681,02,02,충청남도 천안시 동남구 병천면 5산단로 419,36.763779245,127.26497944,24시간 이용가능,EV,에버온,1661-7766,2,20230108061848,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경파크빌1차 109동,EV004681,03,02,충청남도 천안시 동남구 병천면 5산단로 419,36.763779245,127.26497944,24시간 이용가능,EV,에버온,1661-7766,2,20230114191049,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경파크빌1차 102동,EV004682,01,02,충청남도 천안시 동남구 병천면 5산단로 419,36.763779245,127.26497944,24시간 이용가능,EV,에버온,1661-7766,1,20230117184440,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경파크빌1차 102동,EV004682,02,02,충청남도 천안시 동남구 병천면 5산단로 419,36.763779245,127.26497944,24시간 이용가능,EV,에버온,1661-7766,2,20230116200418,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경타운하우스2단지1주차장,EV004697,01,02,충청남도 천안시 동남구 병천면 5산단로 420,36.762539082,127.26605068,24시간 이용가능,EV,에버온,1661-7766,3,20230118075621,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경타운하우스2단지1주차장,EV004697,02,02,충청남도 천안시 동남구 병천면 5산단로 420,36.762539082,127.26605068,24시간 이용가능,EV,에버온,1661-7766,2,20230118060226,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경타운하우스2단지1주차장,EV004697,03,02,충청남도 천안시 동남구 병천면 5산단로 420,36.762539082,127.26605068,24시간 이용가능,EV,에버온,1661-7766,2,20230118060226,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경타운하우스2단지2주차장,EV004698,01,02,충청남도 천안시 동남구 병천면 5산단로 420,36.762539082,127.26605068,24시간 이용가능,EV,에버온,1661-7766,2,20230118060409,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 부경타운하우스2단지2주차장,EV004698,02,02,충청남도 천안시 동남구 병천면 5산단로 420,36.762539082,127.26605068,24시간 이용가능,EV,에버온,1661-7766,2,20230118060226,,44,Y,외부인 사용불가,병천면
,,,,,충남천안 목천연합초원아파트,EV004994,01,02,충청남도 천안시 동남구 목천읍 목천안터2길 9,36.775342873,127.21112774,24시간 이용가능,EV,에버온,1661-7766,2,20230117211657,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 목천연합초원아파트,EV004994,02,02,충청남도 천안시 동남구 목천읍 목천안터2길 9,36.775342873,127.21112774,24시간 이용가능,EV,에버온,1661-7766,2,20230116070626,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 목천2차부영아파트,EV005081,01,02,충청남도 천안시 동남구 목천읍 삼성5길 41,36.761318305,127.17810347,24시간 이용가능,EV,에버온,1661-7766,2,20221231174436,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 목천2차부영아파트,EV005081,02,02,충청남도 천안시 동남구 목천읍 삼성5길 41,36.761318305,127.17810347,24시간 이용가능,EV,에버온,1661-7766,3,20221221165955,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 목천2차부영아파트,EV005081,03,02,충청남도 천안시 동남구 목천읍 삼성5길 41,36.761318305,127.17810347,24시간 이용가능,EV,에버온,1661-7766,2,20221221165758,,44,Y,외부인 사용불가,목천읍
,,,,,충남천안 목천2차부영아파트,EV005081,04,02,충청남도 천안시 동남구 목천읍 삼성5길 41,36.761318305,127.17810347,24시간 이용가능,EV,에버온,1661-7766,2,20230114174836,,44,Y,외부인 사용불가,목천읍
